id;name;ingredients;recipe;type;cuisine;minutes;calories;image;accepted
44;Плов из курицы по-турецки;Курица 200, морковь 20, петрушка 20, сельдерей (Корень) 10, лук репчатый 20, перец стручковый маринованный 5, масло сливочное 25, рис 60, изюм 10, миндаль 10, перец черный молотый, соль.;Курицу варят в подсоленной воде с кореньями и луком до готовности. Промытый и высушенный рис поджаривают в масле до  прозрачности и заливают бульоном. Заправляют солью, перцем,  добавляют изюм, дают бурно прокипеть 10 минут, затем закрывают  кастрюлю и ставят в водяную баню еще на 15 мин. Снимают мясо  костей, нарезают кусочками и обжаривают в масле. Обжаренные  кусочки миндаля и маринованный стручковый перец соединяют с  мясом и рисом.;Вторые блюда;Турецкая кухня;80;254;scale_11100 .jpg;true
45;Манты (3 штуки в порции) по-узбекски;На 4 порции. Баранина - 440 г. сало баранье - 45 г. лук репчатый, очищенный - 500 г. мука в/с (- 320 г. вода - 20 г.;Баранину и лук мелко рубят, заправляют солью и перцем. Из крутого теста раскатывают тонкие лепешки (края лепешки должны  быть раскатаны тоньше, чем середина). На середину лепешки кладут  фарш, сверху фарша кладут кусочек сала и защипывают края,  придавая изделию круглую форму.  Манты отваривают на пару, в каскане (паровом котле), плотно  накрытом крышкой.  Манты варятся 45 минут. При подаче к столу их заливают мясным бульоном, посыпают рубленой зеленью. Подают отдельно  сметану или кислое молоко,;Вторые блюда;Узбекская кухня;45;59;uzbek-manties.jpg;true
46;Шашлык по-узбекски;На 4 порции. Баранина - 280 г. сало баранье - 25 г. лук репчатый - 100 г. зелень петрушки - 40 г. мука пшеничная - 15 г. Маринад: анис - 2 г. лук репчатый - 40 г. перец красный - 2 г. уксус 3%-ный - 20 г.;Баранину нарезают на мелкие кусочки и вместе с нашинкованным луком заливают маринадом, перемешивают и оставляют на 3-4 часа. Затем мясо нанизывают на шпажку, на конец которой насаживают  кусок сала, посылают мукой и обжаривают над раскаленными углями. Подают по 3-5 шт. на порцию. Гарнир - нашинкованный лук и зелень петрушки.;Вторые блюда;Узбекская кухня;60;234;recept_6178_dbv9.jpg;true
47;Борщ украинский с мясом;Говядина 54, кости 100, капуста свежая 75 картофель 100, морковь 25, корень петрушки 10, лук репчатый 20, чеснок 2, томат-пюре 20 или помидоры свежие 75, перец болгарский 10, мука пшеничная 3, жир 5, сало (Шпик) 5, сметана 20, сахар 5, уксус (3%), 8, зелень петрушки 5, перец черный, перец душистый, лист лавровый, соль.;В кипящий костный бульон кладут мясо, варят его до готовности, вынимают и нарезают на порции. Свеклу шинкуют соломкой, солят,  сбрызгивают уксусом, перемешивают и тушат с добавлением жира из  мясного бульона, томата-пюре, сахара до полуготовности. Коренья,  лук шинкуют соломкой и слегка поджаривают с жиром. В процеженный  бульон вводят нарезанный кусочками картофель, доводят до  кипения. Добавляют нарезаную соломкой свежую капусту и варят 10- 15 минут, закладывают тушеную свеклу, поджаренные коренья и лук.  Нарезанные свежие помидоры, болгарский перец, слегка поджаренную  муку и кипятят 5 минут, после чего заправляют борщ салом,  толченым с чесноком, доводят до кипения и дают настояться в  течение 20-25 мин. При подаче в тарелку кладут кусочек вареного  мяса, сметану и зелень петрушки.;Первые блюда;Украинская кухня;30;44;bb647ec7.jpg;true
48;Котлеты по-киевски;Курятина 200, масло сливочное 30, яйцо 1/4 шт., сухари пшеничные 20, жир для жаренья 15, картофель 350, горошек зеленый 50, соль.;Куриное филе отбивают, фаршируют, придавая ему форму груши, сливочным маслом, смачивают в яйце, панируют в сухарях,  повторяют эту операцию дважды, и жарят во фритюре. При подаче  поливают растопленным маслом. Котлеты можно подать на гренках из  белого хлеба. На гарнир подают жареный картофель и зеленый  горошек. Вместо картофеля можно подать морковь, белые грибы.;Вторые блюда;Украинская кухня;30;245;po-kievsky-kotlety-601x601.jpg;true
49;Салат из свеклы по фински;Свекла 100, ананас 100, сливки взбитые 50.;Отварную свеклу, нарезанную кубиками, и ананас, нарезанный ломтиками, смешивают и заправляют взбитыми сливками.;Салаты;Финская кухня;20;135;finskij-salat-rosoli-600x400.jpg;true
50;Салат селедочный по фински;Сельдь 60, говядина 50, картофель 50, свекла маринованная 30, огурцы соленые 20, лук репчатый 20, яйцо 1/2 шт., сливки 20, зелень петрушки 3, перец молотый черный.;Селедку очищают, вымачивают, освобождают от костей и нарезают мелкими кусочками. Холодный отварной картофель, маринованную  свеклу, соленые огурцы, репчатый лук и яблоки нарезают кубиками.  Все это смешивают с мелко нарезанными кусочками мяса, добавляют  свекольный отвар и перчат. Салат укладывают в салатник горкой,  украшают ломтиками вареного яйца, свеклы, зеленью петрушки и  поливают взбитыми сливками.;Салаты;Финская кухня;15;123;48455a3965c14d166ab49527d1c29134.jpg;true
51;Чаттбуллар (Мясные котлеты);Фарш говяжий 60, фарш телячий 30, фарш бараний 30, сметана 20, вода 20, крошка сухарная 20, желток 1/2 шт., пюре картофельное 150.;Говяжий, телячий и бараний фарш, сухарную крошку, яичные желтки, сметану и воду смешивают. Из полученной вязкой массы формуют  небольшие шарики и поджаривают их на сливочном масле, встряхивая  сковороду так, чтобы шарики поджаривались равномерно. На гарнир  подают картофельное пюре.;Вторые блюда;Финская кухня;30;125;rubber-cutlets.jpg;true
52;Рыба в тесте;Рыба 150, мука пшеничная 100, яйцо 1 шт., пиво 100, масло сливочное 10, масло растительное рафинированное 20, лук зеленый 5, перец душистый горошком 1, соль.;Муку соединяют с солью, сырыми яичными желтками и пивом, добавляют растопленное сливочное масло и вымешивают тесто.  Яичный белок, взбитый до образования пену, вводят в тесто.  Отварную или припущенную рыбу режут на кусочки, посыпают ме ко  нарезанным зеленым луком и душистым перцем и обмакивают в тесто.  Кусочки рыбы, покрытые тестом, обжаривают в кипящем жиру,  вынимают через 1-2 минут и выкладывают на бумагу, чтобы жир  стек. Подают только в горячем виде.;Вторые блюда;Французская кухня;30;227;ryba-testo.jpg;true
53;Салат бакер;Горчица готовая 5, уксус 5, масло оливковое 10, сельдерей 30, зелень сельдерея 5, ветчина 10, грибы маринованные 10, яблоки 20, майонез 15, картофель 30, свекла 30, зелень петрушки 5.;Горчицу, уксус, оливковое масло взбивают и заливают полученной заправкой мелко нарезанную зелень и корни сельдерея. Выдерживают  один час, а затем добавляют нарезанные ломтиками ветчину,  маринованные грибы, яблоки и осторожно перемешивают с майонезом.  Смесь укладывают в салатник и украшают дольками вареного  картофеля, свеклы и зеленью петрушки.;Салаты;Французская кухня;70;220;20-minute-Easy-Apple-Arugula-Salad-with-Pecans-and-Lemon-Vinaigrette.-A-healthy-hearty-side-dish-for-fall-and-winter.-salad-recipe-vegan-healthy-dinner-meal-minimalistbaker-1200x630.jpg;true
54;Суп луковый по-парижски;Лук репчатый 120, масло сливочное 10, мука пшеничная 5, бульон 250, хлеб белый 20, лавр, перец молотый черный, соль.;Мелко нарезанный репчатый лук обжаривают в сотейнике на сливочном масле до коричневого цвета, добавляют в него,  размешивая, муку, а затем мясной бульон, лавр, молотый черный  перец и варят на слабом 30 мин. Вынимают лавр и солят по вкусу.  Подсушивают на сильном огне без масла тонкие ломтики свежего  белого хлеба. Наливают суп в суповую чашку, кладут в нее ломтик  хлеба, посыпают его тертым сыром, накрывают крышкой и ставят в  теплый жарочный шкаф на несколько минут, чтобы сыр растопился.;Первые блюда;Французская кухня;30;85;b7343f01.jpg;true
55;Суп по-королевски;Цыпленок 80, бульон 250, миндаль 5, хлеб белый 25.;Мясо только что поджаренного цыпленка отделяют от костей, кладут в кипящий бульон и варят на слабом огне 15-20 мин. Затем мясо  вынимают, охлаждают и пропускают через мясорубку вместе с  миндалем и замоченным в бульоне белым хлебом. Добавив несколько  ложек бульона, мясо протирают через сито в кастрюльку с бульоном  и подогревают. При подаче кладут в тарелку ломтик обжаренного на  сливочном масле белого хлеба.;Первые блюда;Французская кухня;30;180;scale_1201.jpg;true
56;Суп из молотой говядины;Вода 300, говядина 80, лук репчатый 20, сельдерей (Корень) 10, жир костный или говяжий 5, зелень петрушки 5, соль.;Пропущенную через мясорубку говядину заливают холодной водой и варят 30 мин. Затем кладут нарезанные спассированные коренья,  соль и варят еще 5-10 мин. В готовый суп кладут мелко нарезанную  зелень петрушки.;Первые блюда;Чехословацкая кухня;30;46;scale_120022.jpg;true
57;Елебрад (Суп из пива);Пиво 500, сахар 10, мука 10, яйцо 1/2 шт., молоко 10, желток 1/2 шт., корка лимона или имбирь, соль.;В пиво кладут лимонную корку и доводят его до кипения. Муку разводят в холод ом молоке, вливают болтушку в пиво и  приправляют суп сахаром и солью. Яйцо смешивают с мукой,  добавляют немного молока: разболтав, вливают эту жидкость в суп.  Кипятят в течение 5 минут и снимают с огня. Взбивают с  несколькими ложками супа яичный желток и вводят заправку в  готовый суп.;Первые блюда;Шведская кухня;40;198;KCmLoja2Ask.jpg;true
58;Курица по-шведски;Курица 220, масло сливочное 20, лук репчатый 30, мука 10, сметана или молоко кислое 100, рис 60, салат 10, соль.;Тушку курицы солят изнутри и снаружи, кладут в кастрюлю с маслом, ставят в жарочный шкаф, румянят со всех сторон и  вынимают. В это же масло добавляют нарезанный ломтиками,  прокипяченный и отцеженный лук, пассируют его, вводят муку,  также пассируют, затем вливают сметану или кислое молоко, бульон  и хорошо размешивают. Курицу кладут в соус, тушат до мягкости и  вынимают. Соус пропускают через сито и заправляют сливочным  маслом и соком лимона. На гарнир - плов из риса или домашняя  лапша, отдельно подают зеленый салат.;Вторые блюда;Шведская кухня;60;236;6066-600x372.jpg;true
59;Поджарка картофельная по-швейцарски;Картофель 200, шпик копченый 50, сливки 30, молоко 30, орех мускатный, соль.;"Сваренный ""В мундире"" картофель охлаждают, очищают, стругают на терке соломкой. Сало (Шпик), нарезанное мелкими кусочками,  вытапливают на слабом огне. Всыпают в сковороду картофель,  хорошо перемешивают с салом, заправляют солью и мускатным  орехом, вливают молоко и сливки, снова перемешивают и накрывают  сковороду миской. Через 15 минут опрокидывают содержимое  сковороды в миску румяной корочкой кверху. Поджарку можно залить  яйцом и посыпать тертым сыром.";Вторые блюда;Швейцарская кухня;30;217;scale_12002.jpg;true
60;Фондю (Блюдо из сыра);Сыр швейцарский 120, чеснок 2, вино натуральное белое 120, крахмал 5, вишневка 10, перец молотый черный, орех мускатный, соль.;Вино вливают в глиняный горшок, натертый изнутри чесноком, медленно нагревают. Тертый сыр растапливают в вине при  непрерывном помешивании (Мешать лучше не кругами, а  восьмерками). Увеличивают огонь и дают жидкости закипеть.  Добавляют разведенный в воде крахмал, заправляют мускатным  орехом, перцем и вливают вишневку. Подают в том же горшке  горячим с гренками.;Вторые блюда;Швейцарская кухня;20;229;fond-3.jpg;true
61;Цыплята по-югославски;Цыпленок 220, масло растительное 50, петрушка 5, чеснок 3, лук репчатый 20, сок лимонный 10, перец молотый черный, соль.;Цыпленка разрезают на части и каждый кусок накалывают вилкой. Из растительного масла, измельченной свежей петрушки, соли, черного  молотого перца, натертого чеснока, мелко нарезанной луковицы и  лимонного сока готовят маринад. Птицу кладут на 3-4 часа в  хорошо размешанный маринад, периодически переворачивая. Затем  мясо вынимают, дают маринаду стечь и обжаривают куски со всех  сторон в течение 15 минут, часто при этом обливая маслом с  пряностями. Гарнируют овощами и картофельными чипсами.;Вторые блюда;Югославская кухня;40;175;1327889048_zapechennye-cyplyata-v-granatovoy-glazuri-farshirovannye-risom.jpg;true
62;Щука фаршированная печеная;Рыба 200, сухари толченые 10, молоко 25, яйцо 1/4 шт., перец молотый черный, лук репчатый 10, соль.;Подготовленную щуку подсушивают, надрезают кожу вокруг головы, острым ножом отделяют ее от мяса и снимают. Готовят рыбную  массу. Кожу не слишком плотно заполняют фаршем, зашивают. Рыбу  укладывают на противень с разогретым жиром, ставят в нагретый  жарочный шкаф и пекут 40 минут, часто поливая образовавшимся  соком. По мере выпаривания добавляют воду. Готовую рыбу кладут  на блюдо, нарезают ломтиками толщиной 1-1,5 см и поливают жиром,  в котором она пеклась. Гарнируют рублеными яйцами, тертым  хреном, зеленью петрушки, ломтиками помидоров и огурцов.  Отдельно подают майонез или соус-хрен.;Вторые блюда;Польская кухня;40;141;b4a2b58f.jpg;true
63;Мозги телячьи;Мозги телячьи 100, масло сливочное 10, лук репчатый 10, уксус 5, яйцо 1/2 шт., зелень петрушки 5, перец молотый черный, соль.;Мозги обмывают, очищают от пленок, кладут в кипящую подсоленную воду с уксусом и варят 5 мин. Осторожно вынимают, подсушивают,  охлаждают. Лук нарезают мелкими кубиками и жарят в масле до  светло-золотистого цвета. Мозги нарезают крупными кубиками,  соединяют с луком и сырыми желтками, массу вымешивают, солят,  перчат и подают, посыпав зеленью петрушки. (Вместо желтков можно взять целые яйца, но в этом случае жарят  мозги с яйцами несколько мин. Пленку с мозгов можно снять и  после варки.);Вторые блюда;Польская кухня;30;118;IMG_2842.jpg;true
64;Оладушки из тыквы с колбасой;Тыква 120, колбаса докторская или чайная 50, яйцо 1 шт., мука 20, масло сливочное 15, соль.;Тыкву очищают от кожицы и семян и измельчают на крупной терке. Колбасу, сняв оболочку, мелко рубят или пропускают через  мясорубку. Сырые желтки, растертые с жиром, соединяют с тыквой и  колбасой, вводят муку и соль, размешивают. Ложкой выкладывают  оладушки на сковороду и подрумянивают с обеих сторон. Подают  горячими, уложив в ряд на продолговатое блюдо. Отдельно подают  томатный соус.;Вторые блюда;Польская кухня;40;152;2_1570117084-e1570117109648-630x315.jpg;true
65;Суп гороховый по-монгольски;Бульон мясной 250, горох 60, сок томатный 50, масло сливочное 5, лук репчатый 20, сметана 15, перец, соль.;Мелко шинкованный лук пассируют в масле до золотистого цвета, заливают холодным бульоном, кладут замоченный горох и варят.  Затем лук и горох протирают через сито, кладут в бульон,  добавляют томатный сок, заправляют суп солью и перцем и  проваривают 10 минут на слабом огне. При подаче кладут сметану.;Первые блюда;Монгольская кухня;40;51;recipe_3b3b13e5-74c6-491b-b4fc-f851dd905372_large.jpg;true
66;Суп из головы молодого барашка;Голова молодого барашка 300, лук репчатый 50, морковь 50, сельдерей (Корень) 30, рис 50, масло сливочное 10, молоко кислое 50, яйцо 1/4 шт., зелень петрушки и мяты 5, перец молотый черный, кислота лимонная, соль.;Голову молодого барашка хорошо промывают, кладут в кастрюлю, заливают холодной водой и варят. Доведя до кипения, удаляют  пену, солят, кладут морковь, репчатый лук, корень сельдерея и  продолжают варить на слабом огне. Когда мясо начнет отделяться  от костей, голову вынимают, рубят пополам, извлекают мозг и  язык, мясо снимают с костей. Все это нарезают мелкими кусочками  и кладут в процеженный бульон, добавив отварной рис, проваривают  суп 15 минут, а затем заправляют кислым молоком, рублеными  крутыми яйцами, зеленью петрушки, мяты, лимонной кислотой,  черным молотым перцем и сливочным маслом.;Первые блюда;Монгольская кухня;40;129;unnamed5.jpg;true
67;Суп из рыбы по-молдавски;Осетрина 130, или белуга 100, лук репчатый 25, петрушка (Корень) 25, морковь 25, масло сливочное 10, картофель 200, квас 100, зелень петрушки 5, специи, соль.;Отваривают порционные куски рыбы с кожей (Без хрящей). В полученный бульон закладывают картофель, нарезанный дольками.  Через 15-20 минут - пассированный лук, морковь и петрушку,  нарезанные соломкой: доведя суп до кипения, добавляют  прокипяченный квас, лавр и черный перец. При подаче посыпают  зеленью.;Первые блюда;Молдавская кухня;45;153;zama-of-fish-800x445.jpg;true
68;Суп по-молдавски;Курица 100, картофель 200, морковь 25, лук репчатый 25, петрушка 15, маргарин столовый 10, кислота лимонная 1, сметана 15, специи, соль.;Морковь, лук, петрушку шинкуют соломкой и пассируют. В курином бульоне отваривают до полуготовности картофель, нарезанный  чесночком, затем вводят пассированные коренья, красный перец,  соль. За 5 минут до готовности суп заправляют лимонной кислотой  и лавром. При подаче в тарелку кладут кусочки курицы, сметану и  зелень.;Первые блюда;Молдавская кухня;40;140;472818fd666947919a7ec59d18694ee8-quality_100Xresize_crop_1Xallow_enlarge_0Xw_680Xh_510.jpg;true
69;Суп-пюре по-норвежски;Кольраби 20, бульон 250, грибы свежие 20, сливки 20, желток яичный 1/2 шт., масло сливочное 5.;Из кольраби ранних сортов делают пюре, разводят его бульоном, кладут в суп мелко нарезанные отварные белые грибы, заправляют  сливками, яичными желтками и сливочным маслом.;Первые блюда;Норвежская кухня;35;124;f7ace77be765001ff8f32f156f4c872e-quality_100Xresize_crop_1Xallow_enlarge_0Xw_680Xh_510.jpg;true
70;Кавурма из молодого барашка;Баранина 110, жир бараний 15, мука пшеничная 5, лук репчатый 40, томат-пюре 10, чеснок 1, гарнир 150, соль.;Мякоть баранины нарезают кусками весом по 25-30 г и обжаривают, добавив муку и томат-пюре, жарят еще 5 минут, затем вливают  немного воды, кладут пассированный лук, соль, чеснок и тушат под  крышкой до готовности. Гарнир из овощей, круп или макаронных  изделий.;Вторые блюда;Молдавская кухня;40;214;prigotovlenie-blyud-iz-myasa.jpg;true
71;Гайин эль гхальми (Гуляш из баранины);Баранина 250, масло растительное 25, чеснок 5, лук репчатый 50, помидоры.;Лопатку или бараний окорок нарезают небольшими кусочками, как для гуляша. В глубокой тяжелой кастрюле (Гусятнице) разогревают  растительное масло и обжаривают в нем мясо. Добавляют растертый  чеснок, мелко нарезанный лук, соль, черный молотый перец, лавр,  гвоздику, зелень петрушки, шафран, имбирь, мелко нарезанные  помидоры или томат-пасту и тушат несколько минут, помешивая.  Затем вливают воду, прикрывают крышкой и тушат, перемешивая,  примерно час, пока мясо не станет мягким. Нарезанный дольками  лук поджаривают на растительном масле до золотистого цвета, изюм  замачивают на полчаса в теплой воде, миндаль поджаривают на  масле и все это вместе кладут в кастрюлю с мясом. Размешав,  ставят кастрюлю в горячий жарочный шкаф на 15 минут (Блюдо  должно стать сверху сухим). Подают на стол в кастрюле, украсив  блюдо половинками крутых яиц.;Вторые блюда;Марокканская кухня;60;267;IMG_5874.jpg;true
72;Ебаба (Хлебный суп);Изюм 50, сухари хлебные 150, вода 500, мед 50.;Изюм варят в воде, всыпают хлебные сухари и заправляют медом. Подается горячим или холодным.;Первые блюда;Марокканская кухня;20;115;dsc4899-2.jpg;true
73;Турисмо торык вуд (Напиток творожный);Творог пастеризованный обезжиренный 300, вода или молоко 700, соль 10.;Сухой творог растирают, вливая тонкой струей кипяченую холодную воду или молоко, до консистенции сливок, присаливают и  настаивают напиток в неокисляющейся посуде.;Вторые блюда;Марийская кухня;15;34;inx960x640.jpg;true
74;Шолтымо стерлядь (Салат из стерляди);Стерлядь 110, картофель 10, огурцы свежие или соленые 90, яйцо 1/2 шт., яблоки 20, клюква 15, соус 50.;Картофель, отваренный в мундире, и огурцы нарезают мелкими ломтиками, яблоки и сваренные вкрутую яйца - дольками. Стерлядь  припускают с солью и специями, затем охлаждают и нарезают  брусочками. Продукты перемешивают и добавляют клюкву. К салату  подают соус хрен со сметаной.;Салаты;Марийская кухня;30;187;5H2A6652.jpg;true
75;Борщ с грудинкой или корейкой;Грудинка или корейка копченая 17, бульон 100, свекла квашеная 65, рассол свекольный 85, лук репчатый 10, морковь 10, петрушка (Корень) 4, сало свиное 6, сахар 2, картофель отварной 100, сметана 15, перец душистый, лавр, соль.;В бульон, сваренный на копченой корейке или грудинке, добавляют пассированные морковь, петрушку, специи, сахар, продолжая  варить, через 10 минут кладут нарезанную брусочками квашеную  свеклу, свекольный рассол и вновь доводят до кипения. При подаче  в тарелку кладут ломтик копченого мяса и сметану. Отдельно  подают отварной картофель.;Первые блюда;Литовская кухня;35;85;ukr_borsh.jpg;true
76;Борщ с ушками по-литовски;Для бульона: кости 50, отвар грибной 75, свекла 60, лук репчатый 7, морковь 8, петрушка (Корень) 6, уксус (9%) 1,2, лавр, перец душистый, соль 2, для ушек: мука пшеничная 30, яйцо 1/4 шт., вода 10, для фарша: грибы сушеные 9, масло сливочное 3, лук репчатый 14, перец, соль.;Варят костный бульон с луком и кореньями. За 40 минут до конца варки добавляют уксус, мелко нарезанную сырую свеклу, соль,  специи. Готовый бульон процеживают и соединяют с грибным  отваром. Замешивают тесто, раскатывают его тонким пластом,  нарезают квадратики и лепят ушки с фаршем, приготовленным из  сушеных отварных грибов, пассированного лука, соли, перца. При  подаче сваренные отдельно ушки кладут в горячий бульон, засыпают  зеленью.;Первые блюда;Литовская кухня;40;116;f59e0cee3678f3043cfd3f9fc8c6d15abb825da3.jpeg;true
77;Зразы заливные;говядина (Задняя часть) - 500 г свиное сало - 100 г луковицы - 2 шт яйцо - 3 шт (2 вкрутую) ржаные толченых сухарей - пол стакана черный перец - 1 ч.л. майонез;Говядину нарезать пластами толщиной 0,5 см, размером с ладонь или более, отбить (Обязательно), посолить, поперчить, смазать взбитым яйцом, выдержать 15 мин. Сало нарезать мелкими кубиками, вытопить до образования шкварок. Из обжаренного лука, яиц вкрутую, шкварок и сухарей сделать на- чинку, насыпать ее на подготовленную говядину слоем 0,5 - 1 см, завернуть рулетом  или конвертиком, обвязать и смазать зразы взбитым яйцом. В растопленном сале обжарить зразы на сильном, затем слабом огне  до готовности. При вытапливании жира подлить 1 - 2 ст. ложки воды.;Вторые блюда;Литовская кухня;30;229;zrazy-s-yaicom-v-duxovke_1587365497_12_max.jpg;true
78;Рагоуляй;сырых картофелин - 15 шт вареных карофелин - 2 шт гречневой муки - 6 ст. л. дрожжей - 25 г. воды - 2 ст. л. свиного сала - 100 г луковицы - 3 шт.;1. Из вареного картофеля сделать пюре, добавить дрожжи, разве - денные теплой водой, муку, поставить в теплое место на закваску.          2. Сырой картофель натереть, сок отжать, добавить муку (4 ст.  ложки) и закваску (П.1),поставить на 8 ч в теплое место.                 3. Затем слить образовавшуюся жидкость, добавить соль, оставшую- ся муку и выложить массу слоем 3 см на лист, смазанный маслом, запечь в  духовке в  течение 30 мин.;Вторые блюда;Литовская кухня;35;134;7dfc2a786e52b5c_660x440.jpg;true
79;Кокосовые орехи запеченные (Коста Рика);Орехи кокосовые 250, молоко 750, крахмал 20, сахар 20, яйца 2шт., коньяк 20, изюм 30, корица 2, ваниль.;Картофельную муку разводят на 100 г холодного молока. Остальное молоко кипятят, добавляют в него разведенный крахмал и,  постоянно помешивая, доводят до кипения. Затем осторожно  добавляют измельченную на терке мякоть кокосовых орехов, изюм,  сахар, ваниль, а также взбитые с коньяком яйца. Готовую смесь  раскладывают по формочкам, посыпают корицей и быстро запекают в  жарочном шкафу.;Вторые блюда;Кухня Центральной Америки;40;386;1323625003_orehi-s-kokosom-zapechennye-s-garam-masaloy.jpg;true
80;Лодочки из бананов (Гавайские острова);Бананы 100, мука 10, молоко 30, масло сливочное 10, пудра сахарная 10, яйцо 1шт., соль.;Мякоть бананов растирают в пюре. Готовят белый соус из муки и сливочного масла, разбавляют его молоком, смешанным с сахарной  пудрой и солью. Соус снимают с огня и мешают до тех пор, пока он  не остынет. Добавляют желток, пюре из мякоти бананов и в конце -  белок, взбитый в крепкую пену. Лодочки из банановой кожуры  укладывают на смазанный маслом противень, наполняют их кремом,  ставят в сильно нагретый жарочный шкаф и запекают 5-6 мин.;Вторые блюда;Кухня Центральной Америки;10;294;u19XgSgGpHA.jpg;true
81;Напиток из бананов (Гаити);Молоко 200, сахар 50, апельсин 1/2 шт., бананы 50.;Молоко кипятят с сахаром, охлаждают и добавляют сок апельсина. Жидкость вливают в банановое пюре, размешивают, охлаждают.  Напиток подают, надев на край стакана ломтик апельсина. Пьют его  через соломку.;Вторые блюда;Кухня Центральной Америки;20;172;2e8698d1fa098cfc77fd98ba34859218_cropped_740x494.jpg;true
82;Омлет с ананасом (Ямайка);Ананас 80, яйца 2шт., пудра сахарная 10, ром 100, молоко 10, крахмал 3, ванилин.;Ананас очищают от кожуры, нарезают кубиками, посыпают сахарной пудрой и заливают ромом. Яичные желтки растирают добела с  сахарной пудрой, добавляют молоко, крахмал, порошок ванилин и в  конце - взбитые в пену белки. На сковороде разогревают сливочное  масло, выливают подготовленную яичную смесь и поджаривают ее с  обеих сторон. На середину поджаренного омлета помещают  пропитанный ромом ананас, складывают омлет пополам, кладут на  смазанный маслом противень и запекают в жарочном шкафу в течение  10 мин. Затем поливают омлет ромом, добавив по вкусу сахар. В  момент подачи ром поджигают.;Вторые блюда;Кухня Центральной Америки;10;205;bcb95cc2.jpg;true
83;Картупеля нянь (Шаньги с картофелем);Для теста: мука 120, сахар 3, дрожжи 1, маргарин 5, вода 50, соль, картофель 150, молоко 20, сметана 20, яйцо 1/2 шт., масло сливочное 10.;В теплой воде или молоке растворяют сухие дрожжи, соль, сахар. Готовят дрожжевое тесто густой консистенции. Формуют шарики и  раскатывают их в лепешки. Отваренный в небольшом количестве воды  картофель тщательно разминают и, добавив горячее молоко, массу  взбивают. На середину шаньги кладут картофельное пюре,  поверхность разравнивают и смазывают яично-сметанной смесью.  Изделия выпекают при температуре 200-220 градусов и смазывают  растопленным маслом.;Вторые блюда;Коми кухня;20;149;shanga-s-kartoshkoy.jpg;true
84;Моркова кушман (Редька тертая с морковью);Редька 70, морковь 60, сметана 20, уксус 2, сахар 2, соль.;Редьку и морковь моют, очищают от кожицы, измельчают на крупной терке, солят. Добавив сахар и уксус, заправляют сметаной и  тщательно перемешивают.;Вторые блюда;Коми кухня;15;62;salat_iz_chernoi_redki_s_morkoviu-51125.jpg;true
85;Салат из помидоров китайский;Помидоры свежие 150, сахар-песок 30.;Помидоры нарезают кружочками толщиной 3 мм, кладут горкой в салатник и посыпают сахаром.;Салаты;Китайская кухня;20;93;p_O_6.jpg;true
86;Салат из редьки с луком;Редька 180, лук зеленый 10, масло кунжутное 20.;Редьку нарезают соломкой, смешивают с нарезанным зеленым луком, добавляют соль и кунжутное масло. Готовый салат кладут в  салатник. Иногда отдельно подают горячую жидкую рисовую кашу  (Дамичжоу), которую варят обычным способом.;Салаты;Китайская кухня;15;59;7b82e75b25399c33120c70fbeaedc854.jpg;true
87;Форель жареная по-иссыккульски;Форель 150, мука 5, масло растительное 20, лук репчатый 120, помидоры свежие 30, редька 70, перец болгарский 30, томат-пюре 10, патиссоны 50, горошек зеленый 20, зелень 6, специи, соль.;Обработанную рыбу нарезают на порции, панируют в муке и жарят. Бланшированную редьку обжаривают вместе с луком, отдельно жарят  болгарский перец, шинкованный соломкой. Овощи соединяют с  пассированным томатом и гарнируют ими рыбу. Гарнир можно  дополнить также зеленым горошком, патиссонами, помидорами и  зеленью.;Вторые блюда;Киргизская кухня;25;96;Форель жареная по-иссыккульски;true
88;Кулебяка с грибами;Мука пшеничная 160, сахар 8, масло подсолнечное 8, дрожжи 3, яйцо 1/4 шт., лук репчатый 35, грибы соленые 150.;Кислое тесто раскатывают в полоску шириной 18-20 см и толщиной 1 см. На середи у полосы укладывают фарш из соленых рубленых  грибов и лука. Края теста соединяют и защипывают. Кулебяку  помещают на лист, смазывают яйцом и выпекают.;Вторые блюда;Карельская кухня;40;184;00022518.jpg;true
89;Мусс манный с ревенем;Крупа манная 100, вода 700, сахар 175, ревень 350.;Ревень очищают от волокон, промывают, мелко нарезают, 5 минут варят в воде с сахаром, протирают, добавляют творог и  перемешивают, а затем доводят до кипения. Всыпают манную крупу и  варят до загустения. Охладив до 40 град, массу взбивают в пену,  разливают в формы и охлаждают. Подают под фруктовым или ягодным  соусом.;Вторые блюда;Карельская кухня;20;109;recept-mussa-iz-revenya-s-mankoy-1024x680.jpg;true
90;Напарокко (Суп с сушеным окунем);Окунь сушеный 80, картофель 200, мука 3, специи, сметана 10.;В кипящую подсоленную воду кладут ошпаренную сушеную рыбу и варят до готовности. Мякоть отделяют и закладывают в процеженный  бульон. Доведя до кипения, добавляют картофель, нарезанный  брусочками, специи, соль и продолжают варку. Незадолго до  готовности вливают мучную болтушку. Подают со сметаной.;Первые блюда;Карельская кухня;30;113;2gis_ru_opt.jpeg;true
